,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
1954(日工営),11.13,0.74,2.88,6.65,3.01,52.33,-2.45,6.51,5.34,-0.4,45.3,0.11,4.89,53.18,27.04,0.86,51.54,0.74,7,7,5,8,4,4,58/100
1959(九電工),9.64,1.12,2.88,11.6,6.96,245.9,5.0,0.26,9.2,0.0,59.97,-3.35,-8.52,403.08,20.54,0.89,38.37,0.96,6,9,8,6,8,7,73/100
1960(サンテック),22.24,0.36,3.67,1.63,1.11,11.12,89.47,3.92,1.8,0.0,68.42,-2.08,-3.14,1.51,22.24,0.06,42.06,70.99,7,7,1,4,9,4,53/100
1961(三機工),12.29,0.94,4.85,7.66,4.09,86.03,22.01,-1.89,5.0,0.0,53.36,-0.42,-3.23,185.16,15.52,0.65,56.14,1.14,5,7,7,5,6,7,62/100
1963(日揮ＨＤ),-6.15,0.68,1.37,-11.03,-6.55,282.94,-25.51,-8.36,4.04,0.0,59.37,-0.34,7.37,1543.59,27.86,1.45,46.59,0.92,1,1,9,5,8,9,55/100
1964(中外炉),22.1,0.61,3.53,2.77,1.56,13.26,32.74,-8.88,2.78,0.0,56.2,-1.61,-5.82,33.05,22.74,0.55,44.0,4.4,2,7,3,5,7,7,52/100
1965(テクノ菱和),13.67,0.5,3.12,3.63,2.4,20.51,8.08,-4.74,3.97,0.0,66.11,-0.32,-1.11,2.16,7.8,-0.03,42.42,1.46,2,8,2,3,9,9,55/100
1966(高田工),6.31,0.5,1.43,6.6,2.58,6.1,-47.82,-2.22,2.5,0.0,39.15,2.53,7.4,10.81,33.86,0.93,65.66,12.37,2,9,1,4,3,2,35/100
1967(ヤマト),9.44,0.65,1.96,6.9,4.91,20.57,-4.13,-1.74,7.43,0.0,71.14,-0.41,-0.87,20.98,28.04,0.71,54.72,11.67,3,9,3,3,10,6,57/100
1968(太平電),9.33,0.74,3.82,7.92,4.43,53.19,5.65,8.02,6.93,0.0,55.87,-3.69,-4.68,53.89,23.09,0.7,33.54,1.69,8,9,5,5,7,5,65/100
