,PER,PBR,予想配当利回り(%),ROE(%),ROA(%),時価総額(10億円),今期経常利益変化率(%),過去3年平均売上高成長率(%),売上高経常利益率(%),業績予想修正率(%),自己資本比率(%),株価25日移動平均からの乖離率(%),株価75日移動平均からの乖離率(%),平均売買代金(100万円),過去60日ボラティリティー(%),ヒストリカル・ベータ,過去14日RSI,信用残／売買高レシオ,成長性,割安性,企業規模,テクニカル,財務健全性,市場トレンド,クォンツスコア
8473(ＳＢＩ),10.19,1.22,4.56,11.96,0.93,685.45,-26.58,12.07,21.57,0.0,7.8,-4.08,0.35,3344.51,30.74,1.63,25.78,1.55,8,7,10,7,1,3,60/100
8508(Ｊトラスト),33.78,0.74,0.17,2.18,0.38,67.55,,-12.41,19.61,0.0,17.27,1.3,29.42,473.54,47.83,0.4,48.33,13.01,1,2,7,7,2,6,42/100
8511(日証金),17.64,0.59,3.63,3.33,0.04,79.39,16.95,8.57,20.97,0.0,1.11,-2.83,-3.31,115.25,33.15,0.98,38.69,16.75,7,7,7,6,1,1,48/100
8515(アイフル),8.18,1.3,0.26,15.87,2.68,189.0,25.87,4.59,18.44,0.0,16.86,2.12,7.16,1653.78,35.03,0.55,55.0,2.78,9,7,9,8,2,2,62/100
8518(アジア投資),11.63,0.54,0.0,4.64,1.35,3.95,,2.89,10.53,0.0,29.13,-5.43,-18.1,27.3,28.78,1.19,33.96,14.16,6,10,1,5,2,1,42/100
8521(長野銀),9.41,0.18,4.69,1.94,0.09,9.88,-13.84,1.42,7.05,0.0,4.65,-3.62,-5.68,8.18,17.29,0.72,29.22,3.09,3,10,2,5,3,2,42/100
8522(名古屋銀),3.9,0.17,3.43,4.32,0.22,42.55,49.86,3.73,19.92,34.22,5.14,-6.69,-9.61,76.15,23.59,1.02,23.26,1.06,7,10,5,4,4,3,55/100
8524(北洋銀),7.68,0.21,4.29,2.78,0.1,92.98,14.16,-2.25,13.93,12.38,3.68,-4.05,-6.89,109.31,26.21,1.19,31.43,-3.61,3,10,7,6,2,1,48/100
8527(愛知銀),5.74,0.16,5.2,2.73,0.17,37.86,55.55,2.69,17.41,0.0,6.38,-2.08,-0.81,85.53,20.68,0.99,37.33,1.76,6,10,5,5,5,5,60/100
8530(中京銀),18.85,0.26,3.08,1.36,0.07,28.27,-6.39,0.6,10.97,0.0,5.24,-5.07,-6.22,21.57,38.65,0.66,39.03,2.22,3,9,4,5,4,2,45/100
8537(大光銀),6.83,0.16,3.79,2.37,0.11,12.77,9.08,-4.63,14.43,11.31,4.62,-2.26,-4.64,5.09,27.61,0.9,42.65,-4.59,2,10,2,5,3,2,40/100
8540(福岡中銀),14.51,0.21,2.36,1.3,0.07,6.44,-24.81,-4.48,6.98,0.0,5.35,-1.91,-4.48,0.73,11.15,0.06,30.3,,1,9,1,5,4,6,43/100
8541(愛媛銀),6.02,0.2,3.93,3.26,0.18,30.08,-7.87,-4.63,20.0,0.0,5.55,-2.34,-2.24,31.57,19.6,0.61,42.55,5.76,2,10,4,4,5,5,50/100
8542(トマト銀),8.63,0.37,4.84,2.7,0.11,19.31,-2.83,6.16,10.09,0.0,3.98,-2.09,-3.31,7.62,18.29,0.76,43.11,2.16,5,10,3,5,2,2,45/100
8544(京葉銀),5.82,0.21,4.59,3.55,0.19,60.57,25.14,-2.27,23.85,2.75,5.27,-1.21,-1.0,75.02,23.09,0.75,43.66,-0.43,3,10,6,4,4,4,52/100
8550(栃木銀),6.47,0.12,2.82,1.8,0.09,19.4,32.6,-1.99,14.81,0.0,5.12,-1.14,-0.45,38.89,23.12,1.11,41.94,4.02,3,10,3,3,4,2,42/100
8551(北日銀),10.17,0.18,3.32,1.75,0.08,13.23,-14.62,-0.55,11.21,0.0,4.46,-3.05,-4.7,13.84,20.52,0.79,32.05,-4.27,2,10,2,5,3,3,42/100
8554(南日銀),5.92,0.18,3.8,2.09,0.1,7.86,-20.99,-4.4,9.59,0.0,5.0,-0.67,-1.9,1.3,10.82,0.05,42.42,,1,10,1,3,3,5,38/100
8558(東和銀),7.15,0.17,4.0,1.94,0.1,22.34,0.17,-0.21,11.08,0.99,5.27,-3.21,-3.46,35.09,20.65,0.76,33.85,6.73,3,10,4,4,4,3,47/100
8559(豊和銀),5.45,0.24,1.49,2.29,0.12,7.59,0.87,-1.61,8.8,0.0,5.03,4.24,3.29,0.35,32.19,-0.11,74.03,,2,10,1,6,3,2,40/100
8560(宮崎太銀),7.3,0.16,5.22,1.45,0.08,7.6,-32.93,-3.92,8.46,0.0,5.8,-0.65,-0.63,0.81,10.24,0.29,44.44,,1,10,1,3,5,6,43/100
8562(福島銀),10.36,0.21,0.9,2.03,0.07,6.22,,0.23,5.43,0.0,3.57,-7.65,-9.08,17.63,27.45,1.01,26.42,11.02,4,10,2,5,1,1,38/100
8563(大東銀),7.88,0.22,4.4,2.76,0.11,8.66,16.21,-1.98,16.1,0.0,4.14,-1.02,3.22,15.38,26.09,0.95,45.32,14.12,3,10,2,4,2,2,38/100
8566(リコーリース),9.0,0.59,3.17,6.59,1.09,113.41,4.51,-0.12,5.86,0.05,16.48,-0.52,-0.12,139.67,21.85,0.76,53.27,-5.47,4,9,7,4,2,8,57/100
8570(イオンＦＳ),,1.35,3.27,0.0,0.0,297.45,,,,1.02,58.77,-6.8,-0.99,1302.47,31.55,0.96,29.96,1.25,5,2,9,5,9,8,63/100
8572(アコム),9.42,1.18,1.63,12.56,5.0,574.95,-19.91,-2.0,30.72,0.0,39.84,-5.32,-12.3,968.6,25.78,0.66,20.51,2.02,3,9,9,5,3,4,55/100
8584(ジャックス),6.0,0.62,5.18,10.3,0.39,104.99,54.49,3.91,15.6,0.0,3.79,-1.48,4.12,228.01,27.86,0.81,50.5,3.2,8,10,7,4,1,4,57/100
8585(オリコ),11.25,0.96,2.08,8.46,0.4,250.38,34.56,0.42,11.86,0.0,4.69,-8.37,-5.75,787.17,32.38,0.83,26.67,2.35,6,8,9,7,1,1,53/100
8591(オリックス),11.92,0.98,3.37,8.26,1.84,2979.67,21.71,-1.86,15.22,0.0,22.33,4.66,9.55,7653.8,24.08,1.37,72.22,0.07,5,6,10,7,2,6,60/100
8593(三菱ＨＣキャ),8.86,1.04,4.53,11.77,1.58,842.01,94.76,17.04,9.34,0.0,13.43,-0.77,-2.83,1562.65,18.32,1.07,46.27,1.24,10,9,10,3,2,4,63/100
8594(中道リース),8.8,0.45,1.38,5.15,0.34,3.78,-9.34,-0.28,1.72,0.0,6.69,-0.4,0.64,0.03,12.78,-0.01,40.0,,3,9,1,4,1,3,35/100
8595(ジャフコＧ),9.38,0.91,1.92,9.76,8.0,196.88,105.01,10.46,72.73,0.0,82.03,-0.29,5.13,940.53,34.32,1.04,47.44,0.31,10,7,8,6,10,7,80/100
8596(九州リース),8.14,0.49,2.77,5.96,1.28,15.47,-21.02,5.53,10.28,0.0,21.47,-1.58,-2.0,10.65,16.75,0.69,34.21,6.41,5,10,2,3,2,2,40/100
8600(トモニＨＤ),5.39,0.21,2.66,3.83,0.21,49.28,-4.78,-1.51,19.71,0.0,5.42,-3.8,-5.28,80.3,27.3,0.74,37.5,-2.92,3,10,6,7,4,2,53/100
8601(大和),10.05,0.82,5.61,8.13,0.42,1089.81,0.02,-7.09,19.99,0.0,5.11,-2.73,0.37,3019.09,23.08,1.27,37.83,0.43,2,8,10,7,1,3,52/100
8604(野村),7.27,0.6,4.39,8.27,0.52,1620.01,34.95,-4.4,19.57,0.0,6.34,-7.32,-8.51,5673.43,27.65,1.16,18.38,2.97,4,10,10,6,2,1,55/100
8609(岡三),13.01,0.46,4.0,3.57,0.77,78.08,-0.35,-0.41,11.04,0.0,21.44,-4.03,-7.14,120.23,22.87,1.23,30.0,-3.78,3,9,7,5,3,2,48/100
8613(丸三),9.21,0.82,5.54,8.88,4.13,37.74,-2.08,6.8,21.05,0.0,46.46,-7.49,-10.06,72.41,24.48,1.45,20.43,-12.04,7,10,5,6,6,1,58/100
8614(東洋),13.64,0.35,3.92,2.54,1.12,13.37,6.19,6.32,9.6,0.0,44.27,-6.43,-3.97,50.9,37.8,1.76,30.77,2.47,6,9,3,6,5,1,50/100
8616(東海東京),11.15,0.61,5.71,5.44,0.64,100.32,-0.38,2.26,18.12,0.0,11.69,-3.31,-4.82,325.05,24.55,1.43,36.07,1.49,5,9,7,6,3,1,52/100
8617(光世),,0.31,,,,5.14,,,,0.0,74.05,-3.9,-5.55,6.45,29.42,1.22,36.17,8.53,5,5,1,5,10,2,47/100
8622(水戸),11.23,0.51,6.29,4.53,2.5,20.22,-6.45,9.55,20.0,0.0,55.22,-3.39,-5.25,27.42,24.86,1.43,35.14,1.83,7,9,3,5,7,1,53/100
8624(いちよし),9.0,0.93,5.97,10.33,6.1,26.99,192.31,-1.84,19.0,34.34,58.99,-3.75,-2.17,85.38,24.47,1.24,30.84,3.77,7,9,4,5,8,2,58/100
8628(松井),18.13,2.69,4.89,14.82,1.22,212.08,30.82,7.9,50.0,0.0,8.21,-0.02,0.26,480.05,17.3,0.75,45.87,-1.25,9,3,8,5,2,5,53/100
8630(ＳＯＭＰＯ),14.51,0.9,4.32,6.19,0.95,1813.64,-13.99,3.17,4.62,0.0,15.39,-1.76,-0.63,3475.4,20.08,0.68,47.26,-0.17,5,6,10,6,5,10,70/100
8697(日本取引所),29.57,4.23,2.09,14.31,0.08,1359.92,-9.68,2.68,51.53,0.51,0.53,-7.01,-6.69,3557.59,29.3,0.86,30.7,0.12,6,3,10,8,1,4,53/100
8698(マネックスＧ),18.9,2.57,2.98,13.62,0.87,230.51,-18.76,11.33,24.86,0.0,6.39,15.81,31.89,11735.38,76.78,2.58,59.02,0.69,8,2,9,5,2,4,50/100
8699(沢田ＨＤ),5.55,0.81,1.11,14.66,1.6,44.39,64.56,1.99,26.67,11.54,10.93,2.83,5.41,183.2,23.51,0.33,64.23,27.36,8,9,6,5,3,4,58/100
8700(丸八証券),13.32,0.76,3.63,5.69,4.2,5.57,1.32,2.76,19.97,0.0,73.78,-1.11,-1.76,0.61,9.76,0.19,39.08,204.07,5,7,1,3,10,8,57/100
8704(トレイダーズ),6.41,1.24,3.21,19.4,2.07,9.1,-28.7,15.02,23.34,0.0,10.68,-2.1,-4.43,14.6,19.55,1.3,25.0,23.15,9,10,2,4,3,1,48/100
8705(岡藤日産ＨＤ),,0.58,,,,7.81,,,,0.0,15.85,-5.18,-8.27,3.88,23.18,1.15,36.0,61.2,5,5,1,4,2,1,30/100
8706(極東証券),9.86,0.53,6.65,5.4,3.21,24.65,-38.57,-0.81,38.03,-9.57,59.41,-4.04,-6.78,36.75,25.52,1.22,32.35,0.86,2,10,4,5,9,3,55/100
8707(岩井コスモ),9.29,0.59,6.08,6.31,1.84,32.92,-24.77,0.05,27.12,1.51,29.11,-3.41,-5.47,98.53,19.52,1.14,26.92,4.5,3,9,5,5,4,3,48/100
8708(アイザワ証Ｇ),10.99,0.86,3.27,7.78,4.2,49.47,29.7,9.21,12.12,0.0,53.97,-1.83,-2.25,42.99,34.43,1.44,42.17,-2.3,9,8,5,6,7,1,60/100
8713(フィデアＨＤ),5.63,0.19,5.22,3.09,0.11,22.28,1.54,0.16,14.29,-0.07,3.72,-4.06,-6.96,63.47,27.14,1.27,21.74,1.7,3,10,4,5,2,1,42/100
8714(池田泉州ＨＤ),7.93,0.2,4.75,2.29,0.08,48.35,-1.48,-5.49,9.27,0.0,3.65,-3.04,-4.5,172.14,19.03,0.78,29.41,1.11,1,10,6,5,1,3,43/100
8715(アニコムＨＤ),30.55,2.74,0.14,8.98,4.17,70.58,19.65,13.96,6.23,0.0,46.37,-3.44,-3.22,198.61,28.2,0.88,33.33,1.35,9,3,7,5,7,5,60/100
8725(ＭＳ＆ＡＤ),9.44,0.7,4.37,7.46,0.95,2172.1,7.66,-3.09,6.6,0.0,12.78,-1.35,-0.05,3954.44,19.43,0.89,47.83,0.26,4,8,10,5,4,9,67/100
8732(マネパＧ),16.84,0.68,2.51,4.03,0.62,8.42,,-6.55,16.0,0.0,15.33,3.72,12.47,102.24,33.69,0.71,45.45,5.89,2,4,3,5,2,4,33/100
8737(あかつき本社),7.83,0.91,5.16,11.61,2.59,12.52,12.71,5.82,5.92,0.0,22.34,-1.38,-1.74,12.72,16.28,0.52,38.46,16.91,8,9,2,3,2,2,43/100
8739(スパークス),14.44,2.79,3.55,19.33,11.85,64.97,0.18,8.93,42.76,0.0,61.28,5.6,9.97,71.58,32.59,1.23,73.47,4.26,9,3,6,6,9,4,62/100
8740(フジトミ),-14.44,0.83,1.24,-5.73,-1.66,1.66,,4.39,-3.87,0.0,28.9,0.2,-0.37,1.06,15.21,0.51,50.0,15.75,4,2,1,4,2,5,30/100
8742(小林洋行),-21.21,0.33,0.99,-1.54,-0.85,2.54,,1.14,-3.71,0.0,54.84,-3.7,-5.72,1.08,13.92,0.36,21.74,31.63,3,4,1,4,8,6,43/100
8746(第一商品),-3.5,0.64,0.0,-18.18,-10.24,3.5,,-23.33,-162.5,0.0,56.35,-5.41,-15.04,14.02,38.04,0.46,19.35,28.18,1,2,1,5,8,4,35/100
8747(豊トラスティ),,0.75,,,,6.93,,,,0.0,13.51,3.5,1.49,1.47,16.8,0.55,70.73,60.29,5,5,1,4,2,4,35/100
8750(第一生命ＨＤ),9.68,0.56,3.18,5.8,0.44,2701.88,-13.36,-2.3,7.21,0.0,7.56,-0.96,4.3,7496.53,25.99,1.24,47.59,2.76,2,8,10,5,2,8,58/100
8766(東京海上),13.17,1.13,3.61,8.6,1.22,4148.73,64.96,0.14,8.0,0.0,14.22,-1.66,3.5,7929.9,21.23,0.86,37.87,0.13,7,6,10,7,5,9,73/100
8769(ＡＲＭ),25.37,3.97,1.31,15.66,9.72,14.46,16.44,10.0,13.08,0.0,62.07,-12.24,-21.09,19.45,42.38,0.98,33.24,3.74,9,6,3,10,7,1,60/100
8771(イー・ギャラ),50.38,7.61,0.85,15.12,10.63,120.9,20.66,15.19,44.12,0.0,70.35,2.42,6.13,409.68,35.37,0.47,60.47,0.01,10,1,8,8,9,9,75/100
8772(アサックス),9.43,0.59,2.56,6.23,3.12,23.19,-9.06,-1.84,65.95,0.0,50.08,-0.71,-0.11,4.61,12.64,0.35,50.98,2.03,3,9,3,3,6,7,52/100
8783(ＧＦＡ),89.66,47.57,0.0,43.18,1.3,2.09,,12.54,1.22,0.0,3.01,-2.84,-13.59,40.36,43.15,0.88,51.35,3.85,10,2,1,6,1,1,35/100
8789(フィンテック),102.0,1.62,0.0,1.58,0.61,10.26,160.87,-3.61,3.75,0.0,38.46,-1.92,-3.75,48.49,41.61,0.15,45.45,4.54,4,2,3,5,3,3,33/100
8793(ＮＥＣキャピ),7.78,0.45,3.22,5.75,0.52,42.77,64.23,4.08,4.35,0.0,9.04,-3.36,-5.57,35.05,15.47,0.87,31.3,2.05,8,10,5,5,1,2,52/100
8795(Ｔ＆Ｄ),55.81,0.54,3.97,1.04,0.09,831.08,-67.56,0.05,3.47,0.0,8.64,-5.56,-3.8,3654.09,29.69,1.31,30.99,0.1,1,4,10,7,3,5,50/100
8798(Ａクリエイト),18.68,4.16,2.9,22.29,12.12,23.35,73.52,8.9,15.57,0.0,54.37,-2.19,0.31,42.02,34.52,1.01,45.93,3.05,10,3,4,7,6,1,52/100
8801(三井不),15.34,0.96,1.73,6.26,2.07,2454.26,21.4,4.93,9.53,0.0,33.01,-2.47,-1.71,5399.28,24.21,1.15,38.13,0.04,7,6,10,5,4,7,65/100
8802(菱地所),16.34,1.25,1.98,7.67,2.34,2319.6,4.28,1.75,16.59,0.0,30.5,-3.89,-4.26,4673.93,16.75,0.89,20.44,0.36,6,6,10,5,3,7,62/100
8803(平和不),17.97,1.11,2.43,6.15,1.91,131.15,0.55,13.66,18.13,0.0,31.11,-5.01,-13.24,275.44,22.2,0.74,32.56,0.42,8,8,8,7,4,4,65/100
8804(東建物),10.36,0.88,2.94,8.48,2.03,341.78,1.97,9.2,13.52,0.0,23.97,-2.26,-3.41,838.05,23.35,1.31,36.15,0.2,8,8,9,7,2,2,60/100
8806(ダイビル),24.46,1.04,1.41,4.23,1.78,171.2,-14.32,0.73,24.1,0.0,41.98,-2.73,-0.43,189.4,29.67,0.84,43.51,-0.23,3,4,8,7,6,7,58/100
8818(京阪神ビル),16.37,1.0,2.36,6.11,2.79,70.38,-3.56,5.58,27.84,0.0,45.71,-0.16,-2.87,99.66,24.26,0.77,49.28,-0.04,6,6,6,4,6,6,57/100
8830(住友不),12.47,1.24,1.15,9.98,2.64,1870.54,5.26,-3.08,24.02,0.0,26.49,-3.99,1.78,3693.02,22.9,1.23,32.66,-0.08,4,6,10,7,3,7,62/100
8835(太平発),12.43,0.34,4.69,2.74,0.92,4.97,-15.89,-9.32,1.68,0.0,33.39,-4.74,-3.2,16.11,36.75,0.39,37.3,6.0,1,9,1,5,3,1,33/100
8836(ＲＩＳＥ),-32.05,1.26,0.0,-3.95,-3.13,2.56,,25.7,-22.33,0.0,79.25,-5.02,-2.45,0.8,44.24,0.13,33.33,9.1,8,2,1,7,10,2,50/100
8841(テーオーシー),20.17,0.63,1.63,3.11,2.58,58.5,2.82,-3.22,37.35,0.0,82.7,-3.64,-5.43,30.71,21.98,0.88,31.94,-0.1,2,7,5,5,10,6,58/100
8842(楽天地),531.25,0.87,1.47,0.16,0.12,26.57,,-6.25,3.25,-2.81,75.21,0.76,0.29,10.55,13.62,0.5,66.67,6.26,1,2,3,5,10,10,52/100
8844(コスモスイニ),7.89,0.41,1.67,5.23,1.25,14.21,4.21,3.26,2.0,0.0,24.0,1.21,-1.75,4.03,22.54,0.87,54.0,57.77,6,10,2,4,2,1,42/100
8848(レオパレス),-51.21,-9.04,0.0,,-0.93,76.75,,-7.37,-0.72,0.0,-5.25,-2.72,4.52,380.37,45.2,0.77,58.33,0.68,5,1,7,7,1,3,40/100
8850(スターツ),9.18,1.16,2.55,12.6,5.87,139.59,-4.39,0.03,11.44,0.0,46.55,-5.38,-8.04,263.63,24.79,1.07,29.47,0.12,5,9,8,5,6,6,65/100
8854(日住),55.89,0.71,2.97,1.28,0.58,3.35,,-4.1,1.05,0.0,45.53,0.59,1.46,0.23,19.6,0.13,54.93,9.41,2,3,1,6,6,8,43/100
8860(フジ住),8.07,0.6,3.98,7.47,2.1,25.02,29.29,1.7,3.79,0.0,28.11,-2.03,-1.4,18.32,25.86,1.02,48.8,9.71,7,9,3,5,3,1,47/100
8864(空港施設),18.39,0.57,2.5,3.07,1.6,29.62,-27.2,0.08,10.85,0.0,52.16,-1.01,-3.75,15.73,27.76,0.94,52.35,5.11,2,7,4,3,8,6,50/100
8869(明和地所),5.97,0.6,4.82,10.07,3.42,15.51,3.09,5.52,5.41,0.0,33.95,1.14,1.61,11.09,17.1,0.95,56.72,7.81,8,10,2,7,4,1,53/100
8871(ゴールドクレ),8.38,0.44,4.67,5.22,3.46,53.6,49.99,2.43,28.57,0.0,66.27,-7.24,-9.98,110.18,21.29,0.44,20.16,1.29,7,10,6,5,9,6,72/100
8876(リログループ),29.45,5.93,1.0,20.13,4.83,335.73,17.8,-9.63,11.52,-1.97,23.97,-5.45,-7.01,855.28,32.03,0.63,30.85,0.65,4,3,9,6,2,6,50/100
8877(エスリード),5.19,0.5,2.41,9.68,4.72,25.67,15.7,9.46,10.8,0.0,48.76,-0.54,1.5,14.27,17.12,0.74,50.2,3.17,9,10,3,4,7,4,62/100
8881(日神ＧＨＤ),6.77,0.37,4.49,5.53,3.16,23.01,-0.08,1.41,6.02,0.0,57.16,-3.67,-2.58,31.84,22.62,0.8,41.18,1.81,5,10,4,5,8,3,58/100
8886(ウッドＦ),6.19,0.91,4.03,14.63,3.69,5.88,63.93,12.54,3.0,0.0,25.22,6.77,17.22,8.47,35.74,0.28,70.68,8.92,10,8,1,7,2,2,50/100
8887(リベレステ),16.09,0.84,4.79,5.24,3.0,9.01,27.8,2.88,12.6,0.0,57.37,0.32,2.42,7.44,5.3,0.18,58.33,6.16,7,6,2,7,8,5,58/100
8889(ＡＰＡＭＡＮ),17.41,2.29,3.82,13.14,1.61,9.58,12400.0,2.29,2.25,0.0,12.22,-1.39,-5.33,2.26,15.49,0.5,30.0,20.15,10,6,1,3,1,1,37/100
8890(レーサム),6.73,0.69,3.85,10.24,4.58,32.3,451.44,1.38,12.02,0.0,44.69,-2.78,-9.87,39.03,17.69,0.51,38.89,8.38,9,10,4,4,6,3,60/100
8891(ＡＭＧＨＤ),3.96,0.47,1.64,11.75,4.48,2.66,0.2,15.49,6.12,0.0,38.12,1.58,1.36,3.57,15.71,0.68,74.55,45.43,9,10,1,5,5,2,53/100
8892(日本エスコン),13.09,2.1,4.62,16.07,4.15,81.13,-15.8,14.12,11.75,0.0,25.83,1.38,3.76,83.06,14.2,0.95,59.26,4.65,9,5,6,7,3,3,55/100
8893(新日本建物),6.6,1.23,5.23,18.65,5.92,8.38,1.88,7.93,8.97,0.0,31.73,0.27,2.66,23.75,7.84,0.62,50.0,13.66,9,9,2,5,4,2,52/100
8894(レボリュー),43.64,6.91,0.0,15.72,11.08,9.71,,9.97,22.07,0.0,70.51,-0.5,-5.21,12.46,70.29,1.22,54.55,9.77,9,2,2,6,9,1,48/100
8897(タカラレーベ),7.36,0.65,4.79,8.86,2.35,35.33,-28.52,6.92,4.48,0.0,26.53,-5.43,-8.17,94.64,15.24,0.61,10.34,3.84,6,10,5,5,3,2,52/100
8898(センチュ２１),16.57,1.89,4.33,11.38,10.0,11.77,-10.75,-3.44,24.44,0.0,87.88,-0.65,-1.3,4.43,5.98,0.15,38.3,10.52,3,5,2,2,10,10,53/100
8903(サンウッド),7.01,0.57,4.72,8.07,1.91,2.59,-22.85,9.74,3.53,0.0,23.69,-1.91,-2.4,1.25,20.54,0.42,40.0,96.4,7,10,1,3,2,2,42/100
8904(アバンティア),8.49,0.5,4.44,5.86,2.81,12.74,13.58,16.25,3.67,1.7,47.85,-1.5,-3.87,17.04,19.89,0.45,42.99,3.32,9,10,2,3,7,3,57/100
8905(イオンモール),12.54,1.03,2.93,8.22,2.22,388.65,77.59,3.72,14.68,0.0,27.06,0.94,1.11,860.04,20.5,0.85,43.88,0.41,8,6,9,8,3,5,65/100
8908(毎コムネット),13.56,1.42,3.61,10.45,4.08,13.97,5.8,1.36,8.56,0.0,39.03,0.59,2.02,4.78,20.24,0.16,59.68,7.41,6,6,2,7,5,4,50/100
8909(シノケンＧ),6.59,0.95,3.78,14.47,6.81,39.51,0.12,-1.7,8.1,0.0,47.05,-5.36,-7.57,83.61,22.39,1.16,22.02,4.1,5,10,5,4,7,3,57/100
8912(エリアクエス),17.86,1.35,2.06,7.58,3.28,1.96,-16.28,-5.69,8.57,0.0,43.34,-1.38,-3.09,5.47,18.76,0.26,33.33,12.05,2,6,1,3,6,6,40/100
8914(エリアリンク),10.14,1.12,3.0,11.03,4.91,20.28,29.57,-11.62,14.21,1.37,44.57,-0.16,6.62,82.84,42.95,0.37,41.3,5.65,2,6,4,5,6,7,50/100
8917(ファースト住),10.73,0.61,3.57,5.68,3.99,20.38,16.32,1.38,7.04,0.0,70.34,-4.8,-4.33,54.48,16.87,0.96,23.94,0.47,6,9,4,7,9,3,63/100
8918(ランド),5.77,3.76,0.83,65.23,49.69,17.29,,16.33,72.38,0.0,76.17,-0.33,1.58,440.46,76.02,0.35,40.0,0.31,10,8,5,7,10,2,70/100
8919(カチタス),40.33,11.79,0.76,29.23,14.79,331.12,10.5,8.41,11.86,0.0,50.6,2.52,9.01,499.75,26.18,1.0,64.44,0.04,10,1,9,7,7,9,72/100
8920(東祥),83.22,2.4,0.18,2.89,1.3,83.22,74.06,-5.52,9.76,0.0,44.9,11.85,19.42,256.16,41.98,1.15,78.71,0.33,3,1,7,5,4,8,47/100
8922(ＪＡＭ),16.8,0.7,0.0,4.14,2.86,79.01,-14.56,-0.41,31.78,0.0,69.15,-1.51,-4.58,5.85,13.7,0.12,38.46,7.9,3,7,5,4,9,8,60/100
8923(トーセイ),7.71,0.89,3.51,11.61,4.23,52.77,75.83,0.1,16.83,0.0,36.47,-4.47,-6.16,211.16,26.03,0.82,28.66,1.0,7,10,6,7,5,1,60/100
8925(アルデプロ),7.56,3.06,2.88,40.47,18.35,17.54,17.91,40.56,12.88,0.0,45.36,-2.99,-15.38,48.75,47.27,0.78,33.33,7.89,10,10,3,7,6,1,62/100
8927(明豊エンター),12.01,0.9,4.32,7.49,3.27,4.56,-35.48,5.26,5.04,0.0,43.7,-0.84,-8.35,12.73,35.38,0.27,38.89,21.23,5,9,1,5,6,2,47/100
8928(穴吹興産),7.03,0.77,2.73,10.92,2.89,23.21,-9.84,3.74,4.5,0.0,26.41,-1.5,-0.49,6.86,15.89,0.37,44.93,9.17,6,9,3,5,3,5,52/100
8929(青山財産),23.63,4.75,2.25,20.08,8.0,30.25,28.03,6.88,7.29,0.0,39.83,6.03,26.05,113.21,38.11,0.09,57.46,2.55,9,1,5,7,3,5,50/100
8931(和田興産),5.85,0.35,4.81,6.03,1.62,8.77,14.7,0.6,5.5,0.0,26.95,-0.4,-1.51,5.67,7.78,0.44,54.05,41.83,5,10,2,3,3,4,45/100
8934(サンフロ不),6.57,0.73,4.21,11.11,5.8,48.61,52.84,13.99,15.13,0.0,52.26,-7.27,-9.85,190.97,28.09,0.96,24.31,2.09,10,10,6,7,8,1,70/100
8935(ＦＪネクＨＤ),6.68,0.68,4.52,10.21,6.52,36.76,9.08,0.08,9.88,0.0,63.84,3.17,2.24,36.99,19.96,1.12,64.0,3.49,6,9,5,6,9,5,67/100
8938(グロームＨＤ),18.04,1.39,0.0,7.72,6.83,10.23,1421.74,-39.66,22.58,0.0,88.47,-2.3,-11.34,21.52,40.09,1.37,44.6,32.33,2,7,2,4,10,3,47/100
8940(インテリクス),9.28,0.55,3.63,5.95,1.9,6.4,-47.87,5.36,2.32,0.0,31.92,-2.17,-2.56,10.49,22.59,0.62,42.86,3.71,4,9,1,5,4,2,42/100
8944(ランビジネス),1410.53,0.39,2.24,0.03,0.01,7.18,-11.76,-0.53,4.6,0.0,34.05,-1.5,-3.46,4.78,22.5,0.65,50.77,14.23,2,3,1,2,4,5,28/100
8945(サンネクスタ),6.23,1.25,3.45,20.15,13.64,11.02,0.44,4.46,9.48,0.0,67.71,-4.39,-2.43,8.99,17.28,0.24,43.28,10.9,8,9,2,3,9,5,60/100
8946(エイシアンＳ),23.53,1.0,0.0,4.28,1.93,1.62,,3.47,2.58,0.0,45.18,-2.51,-4.95,6.07,39.81,0.92,42.86,27.09,6,6,1,5,6,1,42/100
8951(ビルファンド),28.05,1.76,3.23,6.27,3.22,1178.23,-1.98,9.31,41.68,0.0,51.32,-2.03,-1.37,2848.8,19.27,0.27,33.33,-0.03,7,3,10,5,6,10,68/100
8952(ジャパンＲＥ),28.18,1.82,3.35,6.46,3.32,937.79,10.52,0.91,46.39,0.0,51.44,-1.95,-1.09,2186.91,18.98,0.27,33.33,-0.03,5,3,10,5,7,10,67/100
8953(都市ファンド),25.25,1.15,4.39,4.55,2.29,715.68,4.66,7.72,37.43,0.0,50.47,-3.4,-5.28,1645.35,23.27,0.64,28.71,0.45,7,5,10,5,6,10,72/100
8954(オリックスＦ),27.56,1.43,3.83,5.18,2.64,498.18,-7.82,-1.62,38.73,0.72,50.98,-3.62,-7.61,1476.36,20.11,0.41,38.65,0.04,3,5,9,6,6,10,65/100
8955(Ｊプライム),28.73,1.56,3.62,5.42,2.88,400.07,-14.25,-0.22,42.91,0.0,53.08,1.27,1.3,634.92,20.37,0.35,57.14,0.1,3,3,9,7,8,10,67/100
8956(ＮＴＴ都市Ｒ),22.02,1.69,4.09,7.25,3.45,213.97,-13.55,5.51,42.54,0.0,47.64,0.17,-0.89,792.85,18.25,0.23,43.78,0.25,6,4,8,8,5,10,68/100
