,0
860,2226
861,2226
862,2229
863,2229
864,2264
865,2264
866,2266
867,2266
868,2267
869,2267
870,2268
871,2268
872,2269
873,2269
874,2270
875,2270
876,2281
877,2281
878,2282
879,2282
880,2286
881,2286
882,2288
883,2288
884,2291
885,2291
886,2292
887,2292
888,2293
889,2293
890,2294
891,2294
892,2296
893,2296
894,2300
895,2300
896,2301
897,2301
898,2303
899,2303
900,2304
901,2304
902,2305
903,2305
904,2307
905,2307
906,2309
907,2309
908,2311
909,2311
910,2315
911,2315
912,2317
913,2317
914,2321
915,2321
916,2323
917,2323
918,2325
919,2325
920,2326
921,2326
922,2327
923,2327
924,2329
925,2329
926,2330
927,2330
928,2331
929,2331
930,2332
931,2332
932,2334
933,2334
934,2335
935,2335
936,2337
937,2337
938,2338
939,2338
940,2340
941,2340
942,2341
943,2341
944,2342
945,2342
946,2344
947,2344
948,2345
949,2345
950,2349
951,2349
952,2351
953,2351
954,2352
955,2352
956,2353
957,2353
958,2354
959,2354
960,2359
961,2359
962,2370
963,2370
964,2371
965,2371
966,2372
967,2372
968,2373
969,2373
970,2374
971,2374
972,2375
973,2375
974,2376
975,2376
976,2378
977,2378
978,2379
979,2379
980,2384
981,2384
982,2385
983,2385
984,2388
985,2388
986,2389
987,2389
988,2391
989,2391
990,2393
991,2393
992,2395
993,2395
994,2402
995,2402
996,2404
997,2404
998,2406
999,2406
1000,2408
1001,2408
1002,2410
1003,2410
1004,2411
1005,2411
1006,2412
1007,2412
1008,2413
1009,2413
1010,2415
1011,2415
1012,2418
1013,2418
1014,2424
1015,2424
1016,2425
1017,2425
1018,2427
1019,2427
1020,2428
1021,2428
1022,2429
1023,2429
1024,2432
1025,2432
1026,2433
1027,2433
1028,2435
1029,2435
1030,2436
1031,2436
1032,2437
1033,2437
1034,2438
1035,2438
1036,2440
1037,2440
1038,2445
1039,2445
1040,2449
1041,2449
1042,2453
1043,2453
1044,2454
1045,2454
1046,2459
1047,2459
1048,2461
1049,2461
1050,2462
1051,2462
1052,2464
1053,2464
1054,2467
1055,2467
1056,2468
1057,2468
1058,2469
1059,2469
1060,2471
1061,2471
1062,2475
1063,2475
1064,2477
1065,2477
1066,2479
1067,2479
1068,2480
1069,2480
1070,2481
1071,2481
1072,2483
1073,2483
1074,2484
1075,2484
1076,2485
1077,2485
1078,2487
1079,2487
1080,2488
1081,2488
1082,2489
1083,2489
1084,2491
1085,2491
1086,2492
1087,2492
1088,2493
1089,2493
1090,2497
1091,2497
1092,2498
1093,2498
1094,2501
1095,2501
1096,2502
1097,2502
1098,2503
1099,2503
1100,2510
1101,2510
1102,2511
1103,2511
1104,2512
1105,2512
1106,2513
1107,2513
1108,2514
1109,2514
1110,2515
1111,2515
1112,2516
1113,2516
1114,2517
1115,2517
1116,2518
1117,2518
1118,2519
1119,2519
1120,2520
1121,2520
1122,2521
1123,2521
1124,2522
1125,2522
1126,2523
1127,2523
1128,2524
1129,2524
1130,2525
1131,2525
1132,2526
1133,2526
1134,2527
1135,2527
1136,2528
1137,2528
1138,2529
1139,2529
1140,2530
1141,2530
1142,2531
1143,2531
1144,2533
1145,2533
1146,2540
1147,2540
1148,2551
1149,2551
1150,2552
1151,2552
1152,2553
1153,2553
1154,2554
1155,2554
1156,2555
1157,2555
1158,2556
1159,2556
1160,2557
1161,2557
1162,2558
1163,2558
1164,2559
1165,2559
1166,2560
1167,2560
1168,2561
1169,2561
1170,2562
1171,2562
1172,2563
1173,2563
1174,2564
1175,2564
1176,2565
1177,2565
1178,2566
1179,2566
1180,2567
1181,2567
1182,2568
1183,2568
1184,2569
1185,2569
1186,2573
1187,2573
1188,2579
1189,2579
1190,2586
1191,2586
1192,2587
1193,2587
1194,2602
1195,2602
1196,2607
1197,2607
1198,2612
1199,2612
1200,2613
1201,2613
1202,2620
1203,2620
1204,2621
1205,2621
1206,2622
1207,2622
1208,2623
1209,2623
1210,2624
1211,2624
1212,2625
1213,2625
1214,2626
1215,2626
1216,2627
1217,2627
1218,2628
1219,2628
1220,2629
1221,2629
1222,2630
1223,2630
1224,2631
1225,2631
1226,2632
1227,2632
1228,2633
1229,2633
1230,2634
1231,2634
1232,2635
1233,2635
1234,2636
1235,2636
1236,2637
1237,2637
1238,2638
1239,2638
1240,2639
1241,2639
1242,2640
1243,2640
1244,2641
1245,2641
1246,2642
1247,2642
1248,2643
1249,2643
1250,2644
1251,2644
1252,2645
1253,2645
1254,2646
1255,2646
1256,2647
1257,2647
1258,2648
1259,2648
1260,2651
1261,2651
1262,2652
1263,2652
1264,2653
1265,2653
1266,2654
1267,2654
1268,2656
1269,2656
1270,2659
1271,2659
1272,2664
1273,2664
1274,2666
1275,2666
1276,2667
1277,2667
1278,2668
1279,2668
1280,2669
1281,2669
1282,2670
1283,2670
1284,2673
1285,2673
1286,2674
1287,2674
1288,2676
1289,2676
1290,2678
1291,2678
1292,2681
1293,2681
